weekday,direction,metric,weekpart,season,sum_flow,sample_count
Fri,Eastbound Left Lane,trt,Weekday,Winter,0.0,90
Fri,Eastbound Left Lane,ucv,Weekday,Autumn,2.0,110
Fri,Eastbound Left Lane,ucv,Weekday,Spring,9.0,115
Fri,Eastbound Left Lane,ucv,Weekday,Summer,11.0,118
Fri,Eastbound Left Lane,ucv,Weekday,Winter,8.0,90
Fri,Eastbound Right Lane,art3,Weekday,Autumn,1216.0,110
Fri,Eastbound Right Lane,art3,Weekday,Spring,1231.0,115
Fri,Eastbound Right Lane,art3,Weekday,Summer,1475.0,118
Fri,Eastbound Right Lane,art3,Weekday,Winter,816.0,90
Fri,Eastbound Right Lane,art4,Weekday,Autumn,1096.0,110
Fri,Eastbound Right Lane,art4,Weekday,Spring,1098.0,115
Fri,Eastbound Right Lane,art4,Weekday,Summer,1100.0,118
Fri,Eastbound Right Lane,art4,Weekday,Winter,871.0,90
Fri,Eastbound Right Lane,art5,Weekday,Autumn,203.0,110
Fri,Eastbound Right Lane,art5,Weekday,Spring,224.0,115
Fri,Eastbound Right Lane,art5,Weekday,Summer,294.0,118
Fri,Eastbound Right Lane,art5,Weekday,Winter,126.0,90
Fri,Eastbound Right Lane,art6,Weekday,Autumn,921.0,110
Fri,Eastbound Right Lane,art6,Weekday,Spring,1004.0,115
Fri,Eastbound Right Lane,art6,Weekday,Summer,1295.0,118
Fri,Eastbound Right Lane,art6,Weekday,Winter,732.0,90
Fri,Eastbound Right Lane,bd,Weekday,Autumn,125.0,110
Fri,Eastbound Right Lane,bd,Weekday,Spring,151.0,115
Fri,Eastbound Right Lane,bd,Weekday,Summer,177.0,118
Fri,Eastbound Right Lane,bd,Weekday,Winter,103.0,90
Fri,Eastbound Right Lane,drt,Weekday,Autumn,2.0,110
Fri,Eastbound Right Lane,drt,Weekday,Spring,2.0,115
Fri,Eastbound Right Lane,drt,Weekday,Summer,6.0,118
Fri,Eastbound Right Lane,drt,Weekday,Winter,0.0,90
Fri,Eastbound Right Lane,sv,Weekday,Autumn,1159956.0,110
Fri,Eastbound Right Lane,sv,Weekday,Spring,1255757.0,115
Fri,Eastbound Right Lane,sv,Weekday,Summer,1344750.0,118
Fri,Eastbound Right Lane,sv,Weekday,Winter,970199.0,90
Fri,Eastbound Right Lane,svt,Weekday,Autumn,12811.0,110
Fri,Eastbound Right Lane,svt,Weekday,Spring,12591.0,115
Fri,Eastbound Right Lane,svt,Weekday,Summer,15440.0,118
Fri,Eastbound Right Lane,svt,Weekday,Winter,9279.0,90
Fri,Eastbound Right Lane,t4,Weekday,Autumn,685.0,110
Fri,Eastbound Right Lane,t4,Weekday,Spring,721.0,115
Fri,Eastbound Right Lane,t4,Weekday,Summer,815.0,118
Fri,Eastbound Right Lane,t4,Weekday,Winter,509.0,90
Fri,Eastbound Right Lane,tb2,Weekday,Autumn,71081.0,110
Fri,Eastbound Right Lane,tb2,Weekday,Spring,76567.0,115
Fri,Eastbound Right Lane,tb2,Weekday,Summer,78281.0,118
Fri,Eastbound Right Lane,tb2,Weekday,Winter,61927.0,90
Fri,Eastbound Right Lane,tb3,Weekday,Autumn,1907.0,110
Fri,Eastbound Right Lane,tb3,Weekday,Spring,2046.0,115
Fri,Eastbound Right Lane,tb3,Weekday,Summer,2460.0,118
Fri,Eastbound Right Lane,tb3,Weekday,Winter,1571.0,90
