month,direction,metric,weekpart,season,sum_flow,sample_count
Aug,Westbound Centre Lane,trt,All weeks,Winter,3.0,33
Aug,Westbound Centre Lane,ucv,All weeks,Winter,371.0,33
Aug,Westbound Left Lane,art3,All weeks,Winter,9689.0,33
Aug,Westbound Left Lane,art4,All weeks,Winter,6686.0,33
Aug,Westbound Left Lane,art5,All weeks,Winter,3024.0,33
Aug,Westbound Left Lane,art6,All weeks,Winter,17231.0,33
Aug,Westbound Left Lane,bd,All weeks,Winter,3486.0,33
Aug,Westbound Left Lane,drt,All weeks,Winter,20.0,33
Aug,Westbound Left Lane,sv,All weeks,Winter,4528030.0,33
Aug,Westbound Left Lane,svt,All weeks,Winter,42872.0,33
Aug,Westbound Left Lane,t4,All weeks,Winter,9059.0,33
Aug,Westbound Left Lane,tb2,All weeks,Winter,392255.0,33
Aug,Westbound Left Lane,tb3,All weeks,Winter,21994.0,33
Aug,Westbound Left Lane,total_flow,All weeks,Winter,5034735.0,33
Aug,Westbound Left Lane,trt,All weeks,Winter,0.0,33
Aug,Westbound Left Lane,ucv,All weeks,Winter,389.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art3,All weeks,Winter,267.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art4,All weeks,Winter,134.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art5,All weeks,Winter,24.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art6,All weeks,Winter,45.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,bd,All weeks,Winter,2.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,drt,All weeks,Winter,0.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,sv,All weeks,Winter,387397.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,svt,All weeks,Winter,1487.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,t4,All weeks,Winter,59.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,tb2,All weeks,Winter,23402.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,tb3,All weeks,Winter,288.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,total_flow,All weeks,Winter,413117.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,trt,All weeks,Winter,0.0,33
Aug,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,ucv,All weeks,Winter,12.0,33
Dec,All directions,art3,All weeks,Summer,33560.0,39
Dec,All directions,art4,All weeks,Summer,21078.0,39
Dec,All directions,art5,All weeks,Summer,9244.0,39
Dec,All directions,art6,All weeks,Summer,45844.0,39
Dec,All directions,bd,All weeks,Summer,7912.0,39
Dec,All directions,drt,All weeks,Summer,53.0,39
Dec,All directions,sv,All weeks,Summer,17730294.0,39
Dec,All directions,svt,All weeks,Summer,176683.0,39
Dec,All directions,t4,All weeks,Summer,23010.0,39
Dec,All directions,tb2,All weeks,Summer,1236733.0,39
Dec,All directions,tb3,All weeks,Summer,58186.0,39
Dec,All directions,total_flow,All weeks,Summer,19343656.0,39
Dec,All directions,trt,All weeks,Summer,5.0,39
Dec,All directions,ucv,All weeks,Summer,1054.0,39
Dec,Eastbound Centre Lane,art3,All weeks,Summer,12348.0,39
Dec,Eastbound Centre Lane,art4,All weeks,Summer,7843.0,39
Dec,Eastbound Centre Lane,art5,All weeks,Summer,3968.0,39
Dec,Eastbound Centre Lane,art6,All weeks,Summer,23249.0,39
Dec,Eastbound Centre Lane,bd,All weeks,Summer,3921.0,39
Dec,Eastbound Centre Lane,drt,All weeks,Summer,11.0,39
Dec,Eastbound Centre Lane,sv,All weeks,Summer,5094298.0,39
Dec,Eastbound Centre Lane,svt,All weeks,Summer,56895.0,39
Dec,Eastbound Centre Lane,t4,All weeks,Summer,9755.0,39
