time_bin,direction,metric,weekpart,season,sum_flow,sample_count
00:00,Eastbound Left Lane,art3,Weekend,Winter,0.0,177
00:00,Eastbound Left Lane,art4,Weekday,Autumn,0.0,427
00:00,Eastbound Left Lane,art4,Weekday,Spring,0.0,467
00:00,Eastbound Left Lane,art4,Weekday,Summer,0.0,509
00:00,Eastbound Left Lane,art4,Weekday,Winter,0.0,352
00:00,Eastbound Left Lane,art4,Weekend,Autumn,0.0,209
00:00,Eastbound Left Lane,art4,Weekend,Spring,1.0,227
00:00,Eastbound Left Lane,art4,Weekend,Summer,0.0,232
00:00,Eastbound Left Lane,art4,Weekend,Winter,0.0,177
00:00,Eastbound Left Lane,art5,Weekday,Autumn,2.0,427
00:00,Eastbound Left Lane,art5,Weekday,Spring,1.0,467
00:00,Eastbound Left Lane,art5,Weekday,Summer,0.0,509
00:00,Eastbound Left Lane,art5,Weekday,Winter,1.0,352
00:00,Eastbound Left Lane,art5,Weekend,Autumn,0.0,209
00:00,Eastbound Left Lane,art5,Weekend,Spring,0.0,227
00:00,Eastbound Left Lane,art5,Weekend,Summer,0.0,232
00:00,Eastbound Left Lane,art5,Weekend,Winter,0.0,177
00:00,Eastbound Left Lane,art6,Weekday,Autumn,1.0,427
00:00,Eastbound Left Lane,art6,Weekday,Spring,1.0,467
00:00,Eastbound Left Lane,art6,Weekday,Summer,0.0,509
00:00,Eastbound Left Lane,art6,Weekday,Winter,0.0,352
00:00,Eastbound Left Lane,art6,Weekend,Autumn,0.0,209
00:00,Eastbound Left Lane,art6,Weekend,Spring,1.0,227
00:00,Eastbound Left Lane,art6,Weekend,Summer,0.0,232
00:00,Eastbound Left Lane,art6,Weekend,Winter,0.0,177
00:00,Eastbound Left Lane,bd,Weekday,Autumn,1.0,427
00:00,Eastbound Left Lane,bd,Weekday,Spring,0.0,467
00:00,Eastbound Left Lane,bd,Weekday,Summer,0.0,509
00:00,Eastbound Left Lane,bd,Weekday,Winter,0.0,352
00:00,Eastbound Left Lane,bd,Weekend,Autumn,0.0,209
