weekday,direction,metric,weekpart,season,sum_flow,sample_count
Sun,Southern Shared Path Westbound,ped,Weekend,Autumn,221.0,13
Sun,Southern Shared Path Westbound,ped,Weekend,Spring,551.0,32
Sun,Southern Shared Path Westbound,ped,Weekend,Summer,719.0,27
Sun,Southern Shared Path Westbound,ped,Weekend,Winter,186.0,13
Sun,Southern Shared Path Westbound,total_flow,Weekend,Autumn,785.0,13
Sun,Southern Shared Path Westbound,total_flow,Weekend,Spring,1672.0,32
Sun,Southern Shared Path Westbound,total_flow,Weekend,Summer,1852.0,27
Sun,Southern Shared Path Westbound,total_flow,Weekend,Winter,538.0,13
Thu,All directions,pcl,Weekday,Autumn,2960.0,13
Thu,All directions,pcl,Weekday,Spring,5995.0,32
Thu,All directions,pcl,Weekday,Summer,5636.0,27
Thu,All directions,pcl,Weekday,Winter,2361.0,13
Thu,All directions,ped,Weekday,Autumn,834.0,13
Thu,All directions,ped,Weekday,Spring,1723.0,32
Thu,All directions,ped,Weekday,Summer,1701.0,27
Thu,All directions,ped,Weekday,Winter,532.0,13
Thu,All directions,total_flow,Weekday,Autumn,3794.0,13
Thu,All directions,total_flow,Weekday,Spring,7718.0,32
Thu,All directions,total_flow,Weekday,Summer,7337.0,27
Thu,All directions,total_flow,Weekday,Winter,2893.0,13
Thu,Northern Shared Path Eastbound,pcl,Weekday,Autumn,795.0,13
Thu,Northern Shared Path Eastbound,pcl,Weekday,Spring,1605.0,32
Thu,Northern Shared Path Eastbound,pcl,Weekday,Summer,1442.0,27
Thu,Northern Shared Path Eastbound,pcl,Weekday,Winter,678.0,13
Thu,Northern Shared Path Eastbound,ped,Weekday,Autumn,138.0,13
Thu,Northern Shared Path Eastbound,ped,Weekday,Spring,294.0,32
Thu,Northern Shared Path Eastbound,ped,Weekday,Summer,334.0,27
Thu,Northern Shared Path Eastbound,ped,Weekday,Winter,84.0,13
Thu,Northern Shared Path Eastbound,total_flow,Weekday,Autumn,933.0,13
Thu,Northern Shared Path Eastbound,total_flow,Weekday,Spring,1899.0,32
Thu,Northern Shared Path Eastbound,total_flow,Weekday,Summer,1776.0,27
Thu,Northern Shared Path Eastbound,total_flow,Weekday,Winter,762.0,13
Thu,Northern Shared Path Westbound,pcl,Weekday,Autumn,558.0,13
Thu,Northern Shared Path Westbound,pcl,Weekday,Spring,1049.0,32
Thu,Northern Shared Path Westbound,pcl,Weekday,Summer,915.0,27
Thu,Northern Shared Path Westbound,pcl,Weekday,Winter,453.0,13
Thu,Northern Shared Path Westbound,ped,Weekday,Autumn,161.0,13
Thu,Northern Shared Path Westbound,ped,Weekday,Spring,383.0,32
Thu,Northern Shared Path Westbound,ped,Weekday,Summer,368.0,27
Thu,Northern Shared Path Westbound,ped,Weekday,Winter,103.0,13
Thu,Northern Shared Path Westbound,total_flow,Weekday,Autumn,719.0,13
Thu,Northern Shared Path Westbound,total_flow,Weekday,Spring,1432.0,32
Thu,Northern Shared Path Westbound,total_flow,Weekday,Summer,1283.0,27
Thu,Northern Shared Path Westbound,total_flow,Weekday,Winter,556.0,13
Thu,Southern Shared Path Eastbound,pcl,Weekday,Autumn,672.0,13
Thu,Southern Shared Path Eastbound,pcl,Weekday,Spring,1340.0,32
Thu,Southern Shared Path Eastbound,pcl,Weekday,Summer,1323.0,27
Thu,Southern Shared Path Eastbound,pcl,Weekday,Winter,497.0,13
Thu,Southern Shared Path Eastbound,ped,Weekday,Autumn,259.0,13
Thu,Southern Shared Path Eastbound,ped,Weekday,Spring,588.0,32
Thu,Southern Shared Path Eastbound,ped,Weekday,Summer,486.0,27
Thu,Southern Shared Path Eastbound,ped,Weekday,Winter,175.0,13
Thu,Southern Shared Path Eastbound,total_flow,Weekday,Autumn,931.0,13
Thu,Southern Shared Path Eastbound,total_flow,Weekday,Spring,1928.0,32
Thu,Southern Shared Path Eastbound,total_flow,Weekday,Summer,1809.0,27
Thu,Southern Shared Path Eastbound,total_flow,Weekday,Winter,672.0,13
Thu,Southern Shared Path Westbound,pcl,Weekday,Autumn,935.0,13
Thu,Southern Shared Path Westbound,pcl,Weekday,Spring,2001.0,32
Thu,Southern Shared Path Westbound,pcl,Weekday,Summer,1956.0,27
Thu,Southern Shared Path Westbound,pcl,Weekday,Winter,733.0,13
Thu,Southern Shared Path Westbound,ped,Weekday,Autumn,276.0,13
Thu,Southern Shared Path Westbound,ped,Weekday,Spring,458.0,32
Thu,Southern Shared Path Westbound,ped,Weekday,Summer,513.0,27
Thu,Southern Shared Path Westbound,ped,Weekday,Winter,170.0,13
Thu,Southern Shared Path Westbound,total_flow,Weekday,Autumn,1211.0,13
Thu,Southern Shared Path Westbound,total_flow,Weekday,Spring,2459.0,32
Thu,Southern Shared Path Westbound,total_flow,Weekday,Summer,2469.0,27
Thu,Southern Shared Path Westbound,total_flow,Weekday,Winter,903.0,13
Tue,All directions,pcl,Weekday,Autumn,2886.0,13
Tue,All directions,pcl,Weekday,Spring,6903.0,32
Tue,All directions,pcl,Weekday,Summer,6180.0,28
Tue,All directions,pcl,Weekday,Winter,2267.0,13
Tue,All directions,ped,Weekday,Autumn,1003.0,13
Tue,All directions,ped,Weekday,Spring,1830.0,32
Tue,All directions,ped,Weekday,Summer,1866.0,28
Tue,All directions,ped,Weekday,Winter,592.0,13
Tue,All directions,total_flow,Weekday,Autumn,3889.0,13
Tue,All directions,total_flow,Weekday,Spring,8733.0,32
Tue,All directions,total_flow,Weekday,Summer,8046.0,28
Tue,All directions,total_flow,Weekday,Winter,2859.0,13
Tue,Northern Shared Path Eastbound,pcl,Weekday,Autumn,793.0,13
Tue,Northern Shared Path Eastbound,pcl,Weekday,Spring,1883.0,32
Tue,Northern Shared Path Eastbound,pcl,Weekday,Summer,1702.0,28
Tue,Northern Shared Path Eastbound,pcl,Weekday,Winter,577.0,13
Tue,Northern Shared Path Eastbound,ped,Weekday,Autumn,164.0,13
Tue,Northern Shared Path Eastbound,ped,Weekday,Spring,334.0,32
Tue,Northern Shared Path Eastbound,ped,Weekday,Summer,310.0,28
Tue,Northern Shared Path Eastbound,ped,Weekday,Winter,85.0,13
Tue,Northern Shared Path Eastbound,total_flow,Weekday,Autumn,957.0,13
Tue,Northern Shared Path Eastbound,total_flow,Weekday,Spring,2217.0,32
Tue,Northern Shared Path Eastbound,total_flow,Weekday,Summer,2012.0,28
Tue,Northern Shared Path Eastbound,total_flow,Weekday,Winter,662.0,13
Tue,Northern Shared Path Westbound,pcl,Weekday,Autumn,557.0,13
Tue,Northern Shared Path Westbound,pcl,Weekday,Spring,1234.0,32
Tue,Northern Shared Path Westbound,pcl,Weekday,Summer,1081.0,28
Tue,Northern Shared Path Westbound,pcl,Weekday,Winter,427.0,13
Tue,Northern Shared Path Westbound,ped,Weekday,Autumn,191.0,13
Tue,Northern Shared Path Westbound,ped,Weekday,Spring,420.0,32
Tue,Northern Shared Path Westbound,ped,Weekday,Summer,429.0,28
Tue,Northern Shared Path Westbound,ped,Weekday,Winter,99.0,13
Tue,Northern Shared Path Westbound,total_flow,Weekday,Autumn,748.0,13
Tue,Northern Shared Path Westbound,total_flow,Weekday,Spring,1654.0,32
Tue,Northern Shared Path Westbound,total_flow,Weekday,Summer,1510.0,28
Tue,Northern Shared Path Westbound,total_flow,Weekday,Winter,526.0,13
Tue,Southern Shared Path Eastbound,pcl,Weekday,Autumn,634.0,13
Tue,Southern Shared Path Eastbound,pcl,Weekday,Spring,1516.0,32
Tue,Southern Shared Path Eastbound,pcl,Weekday,Summer,1303.0,28
Tue,Southern Shared Path Eastbound,pcl,Weekday,Winter,526.0,13
Tue,Southern Shared Path Eastbound,ped,Weekday,Autumn,314.0,13
Tue,Southern Shared Path Eastbound,ped,Weekday,Spring,554.0,32
Tue,Southern Shared Path Eastbound,ped,Weekday,Summer,505.0,28
Tue,Southern Shared Path Eastbound,ped,Weekday,Winter,203.0,13
Tue,Southern Shared Path Eastbound,total_flow,Weekday,Autumn,948.0,13
Tue,Southern Shared Path Eastbound,total_flow,Weekday,Spring,2070.0,32
Tue,Southern Shared Path Eastbound,total_flow,Weekday,Summer,1808.0,28
Tue,Southern Shared Path Eastbound,total_flow,Weekday,Winter,729.0,13
