date,time_bin,direction,total_flow,ped,pcl
2023-09-01,01:45,Southern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,01:45,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,01:50,All directions,0.0,0.0,0.0
2023-09-01,01:50,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:50,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,01:50,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:50,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,01:55,All directions,3.0,3.0,0.0
2023-09-01,01:55,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,01:55,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,01:55,Southern Shared Path Eastbound,3.0,3.0,0.0
2023-09-01,01:55,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:00,All directions,0.0,0.0,0.0
2023-09-01,02:00,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:00,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:00,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:00,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:05,All directions,1.0,1.0,0.0
2023-09-01,02:05,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:05,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:05,Southern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,02:05,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:10,All directions,2.0,1.0,1.0
2023-09-01,02:10,Northern Shared Path Eastbound,2.0,1.0,1.0
2023-09-01,02:10,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:10,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:10,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:15,All directions,1.0,1.0,0.0
2023-09-01,02:15,Northern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,02:15,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:15,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:15,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:20,All directions,0.0,0.0,0.0
2023-09-01,02:20,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:20,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:20,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:20,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:25,All directions,0.0,0.0,0.0
2023-09-01,02:25,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:25,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:25,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:25,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:30,All directions,0.0,0.0,0.0
2023-09-01,02:30,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:30,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:30,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:30,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:35,All directions,0.0,0.0,0.0
2023-09-01,02:35,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:35,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:35,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:35,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:40,All directions,1.0,0.0,1.0
2023-09-01,02:40,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:40,Northern Shared Path Westbound,1.0,0.0,1.0
2023-09-01,02:40,Southern Shared Path Eastbound,0.0,0.0,0.0
