month,direction,metric,weekpart,season,sum_flow,sample_count
Mar,Southern Shared Path Westbound,pcl,All weeks,Autumn,2275.0,5
Mar,Southern Shared Path Westbound,ped,All weeks,Autumn,909.0,5
Mar,Southern Shared Path Westbound,total_flow,All weeks,Autumn,3184.0,5
May,All directions,pcl,All weeks,Autumn,5125.0,4
May,All directions,ped,All weeks,Autumn,1216.0,4
May,All directions,total_flow,All weeks,Autumn,6341.0,4
May,Northern Shared Path Eastbound,pcl,All weeks,Autumn,1376.0,4
May,Northern Shared Path Eastbound,ped,All weeks,Autumn,241.0,4
May,Northern Shared Path Eastbound,total_flow,All weeks,Autumn,1617.0,4
May,Northern Shared Path Westbound,pcl,All weeks,Autumn,913.0,4
May,Northern Shared Path Westbound,ped,All weeks,Autumn,238.0,4
May,Northern Shared Path Westbound,total_flow,All weeks,Autumn,1151.0,4
May,Southern Shared Path Eastbound,pcl,All weeks,Autumn,1159.0,4
May,Southern Shared Path Eastbound,ped,All weeks,Autumn,346.0,4
May,Southern Shared Path Eastbound,total_flow,All weeks,Autumn,1505.0,4
May,Southern Shared Path Westbound,pcl,All weeks,Autumn,1677.0,4
May,Southern Shared Path Westbound,ped,All weeks,Autumn,391.0,4
May,Southern Shared Path Westbound,total_flow,All weeks,Autumn,2068.0,4
Nov,All directions,pcl,All weeks,Spring,14922.0,12
Nov,All directions,ped,All weeks,Spring,4122.0,12
Nov,All directions,total_flow,All weeks,Spring,19044.0,12
Nov,Northern Shared Path Eastbound,pcl,All weeks,Spring,4001.0,12
Nov,Northern Shared Path Eastbound,ped,All weeks,Spring,704.0,12
Nov,Northern Shared Path Eastbound,total_flow,All weeks,Spring,4705.0,12
Nov,Northern Shared Path Westbound,pcl,All weeks,Spring,2582.0,12
Nov,Northern Shared Path Westbound,ped,All weeks,Spring,860.0,12
Nov,Northern Shared Path Westbound,total_flow,All weeks,Spring,3442.0,12
Nov,Southern Shared Path Eastbound,pcl,All weeks,Spring,3185.0,12
Nov,Southern Shared Path Eastbound,ped,All weeks,Spring,1302.0,12
Nov,Southern Shared Path Eastbound,total_flow,All weeks,Spring,4487.0,12
Nov,Southern Shared Path Westbound,pcl,All weeks,Spring,5154.0,12
Nov,Southern Shared Path Westbound,ped,All weeks,Spring,1256.0,12
Nov,Southern Shared Path Westbound,total_flow,All weeks,Spring,6410.0,12
Oct,All directions,pcl,All weeks,Spring,12710.0,11
Oct,All directions,ped,All weeks,Spring,4176.0,11
Oct,All directions,total_flow,All weeks,Spring,16886.0,11
Oct,Northern Shared Path Eastbound,pcl,All weeks,Spring,3457.0,11
Oct,Northern Shared Path Eastbound,ped,All weeks,Spring,861.0,11
Oct,Northern Shared Path Eastbound,total_flow,All weeks,Spring,4318.0,11
Oct,Northern Shared Path Westbound,pcl,All weeks,Spring,2306.0,11
Oct,Northern Shared Path Westbound,ped,All weeks,Spring,995.0,11
Oct,Northern Shared Path Westbound,total_flow,All weeks,Spring,3301.0,11
Oct,Southern Shared Path Eastbound,pcl,All weeks,Spring,2724.0,11
Oct,Southern Shared Path Eastbound,ped,All weeks,Spring,1127.0,11
Oct,Southern Shared Path Eastbound,total_flow,All weeks,Spring,3851.0,11
Oct,Southern Shared Path Westbound,pcl,All weeks,Spring,4223.0,11
Oct,Southern Shared Path Westbound,ped,All weeks,Spring,1193.0,11
Oct,Southern Shared Path Westbound,total_flow,All weeks,Spring,5416.0,11
Sep,All directions,pcl,All weeks,Spring,9599.0,9
Sep,All directions,ped,All weeks,Spring,3057.0,9
Sep,All directions,total_flow,All weeks,Spring,12656.0,9
Sep,Northern Shared Path Eastbound,pcl,All weeks,Spring,2479.0,9
Sep,Northern Shared Path Eastbound,ped,All weeks,Spring,613.0,9
Sep,Northern Shared Path Eastbound,total_flow,All weeks,Spring,3092.0,9
Sep,Northern Shared Path Westbound,pcl,All weeks,Spring,1635.0,9
Sep,Northern Shared Path Westbound,ped,All weeks,Spring,697.0,9
Sep,Northern Shared Path Westbound,total_flow,All weeks,Spring,2332.0,9
Sep,Southern Shared Path Eastbound,pcl,All weeks,Spring,2240.0,9
Sep,Southern Shared Path Eastbound,ped,All weeks,Spring,861.0,9
Sep,Southern Shared Path Eastbound,total_flow,All weeks,Spring,3101.0,9
Sep,Southern Shared Path Westbound,pcl,All weeks,Spring,3245.0,9
Sep,Southern Shared Path Westbound,ped,All weeks,Spring,886.0,9
Sep,Southern Shared Path Westbound,total_flow,All weeks,Spring,4131.0,9
